Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
12798290994,"Oct 31, 2024, 7:56:19 PM",Afternoon Walk,Walk,,603,0.93,134.0,1,false,,,activities/13646537918.fit.gz,,,603.0,573.0,934.8,4.542,1.631,10.0,0.0,643.2,654.7,4.0,1.2,,,,,134.0,111.0,,,49.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.55,199.3,,,,,,,,,,,,,,,,,""
12798291193,"Oct 31, 2024, 7:18:07 PM",Afternoon Walk,Walk,,503,0.61,120.0,1,false,,,activities/13646538006.fit.gz,,,503.0,503.0,612.3,4.88,1.217,0.0,7.0,647.0,655.1,1.8,-1.1,,,,,120.0,111.0,,,41.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.217,0.0,,,,,,,,,,,,,,,,,""
12798291331,"Oct 31, 2024, 7:26:43 PM",Afternoon Run,Run,,1764,5.06,177.0,38,false,,,activities/13646537943.fit.gz,,,1764.0,1659.0,5067.5,8.126,3.055,31.1,37.6,610.5,648.5,4.8,-0.1,,,,,177.0,151.0,,,309.0,,,38.0,,,,,,,,,,,,,0.0,,1.0,5080.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.873,5051.4,,,,,,,,,3.062,,,,,,,,""
12813558260,"Nov 1, 2024, 5:09:47 PM",Afternoon Walk,Walk,,4224,5.30,121.0,10,false,,,activities/13662980088.fit.gz,,,4224.0,4032.0,5306.8,3.838,1.316,44.4,22.5,632.2,660.9,7.4,0.4,,,,,121.0,102.0,,,287.0,,,10.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.256,0.0,,,,,,,,,,,,,,,,,""
12839270526,"Nov 5, 2024, 7:52:38 PM",Afternoon Walk,Walk,,1604,2.82,122.0,4,false,,,activities/13690569096.fit.gz,,,1604.0,1581.0,2820.0,2.552,1.784,41.3,0.0,613.1,655.4,9.5,1.5,,,,,122.0,101.0,,,150.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.758,2115.8,,,,,,,,,,,,,,,,,""
12839270594,"Nov 5, 2024, 7:21:00 PM",Afternoon Run,Run,,1884,4.96,179.0,63,false,,,activities/13690569135.fit.gz,,,1884.0,1671.0,4963.8,8.429,2.971,11.8,46.5,603.2,648.1,3.7,-0.7,,,,,179.0,163.0,,,313.0,,,63.0,,,,,,,,,,,,,0.0,,1.0,4907.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.635,3094.4,,,,,,,,,2.937,,,,,,,,""
12878192592,"Nov 6, 2024, 8:06:14 PM",Afternoon Walk,Walk,,436,0.74,136.0,1,false,,,activities/13732460683.fit.gz,,,436.0,436.0,746.5,3.032,1.712,6.1,0.0,646.8,654.6,6.0,1.0,,,,,136.0,127.0,,,39.0,,,1.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.712,86.0,,,,,,,,,,,,,,,,,""
12878192804,"Nov 6, 2024, 7:18:07 PM",Afternoon Walk,Walk,,286,0.48,105.0,0,false,,,activities/13732460773.fit.gz,,,286.0,286.0,480.8,4.704,1.681,0.0,0.0,647.0,649.1,1.8,-0.2,,,,,105.0,96.0,,,24.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.681,0.0,,,,,,,,,,,,,,,,,""
12878193041,"Nov 6, 2024, 7:23:15 PM",Afternoon Run,Run,,2557,7.03,181.0,86,false,,,activities/13732460723.fit.gz,,,2557.0,2370.0,7033.8,8.953,2.968,44.1,47.3,603.2,648.6,5.2,0.0,,,,,181.0,162.0,,,445.0,,,86.0,,,,,,,,,,,,,0.0,,1.0,7063.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.751,5122.4,,,,,,,,,2.98,,,,,,,,""
12885968599,"Nov 11, 2024, 7:50:53 PM",Afternoon Walk,Walk,,302,0.57,106.0,0,false,,,activities/13740789310.fit.gz,,,302.0,302.0,575.5,10.296,1.906,0.0,0.0,647.0,648.5,2.1,0.1,,,,,106.0,101.0,,,25.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.906,0.0,,,,,,,,,,,,,,,,,""
